structure_id,interpolation_fraction,gibbs_kcal_mol_ph6.0,rmsd_to_active,rmsd_to_inactive
path_00_f0.00,0.0,-9278.810984568097,0.0,3.209578275680542
path_01_f0.10,0.1,-9468.219727120646,0.32097184658050537,2.8886067867279053
path_02_f0.20,0.2,-9440.318579909897,0.6418814063072205,2.567697048187256
path_03_f0.30,0.30000000000000004,-9363.73919749308,0.9629040956497192,2.2466742992401123
path_04_f0.40,0.4,-9174.617454315727,1.2838547229766846,1.9257237911224365
path_05_f0.50,0.5,-8674.11343435084,1.604778528213501,1.6047998666763306
path_06_f0.60,0.6000000000000001,-9095.106231138305,1.9257197380065918,1.2838586568832397
path_07_f0.70,0.7000000000000001,-9218.057070984893,2.246708869934082,0.9628695845603943
path_08_f0.80,0.8,-9232.323487374504,2.567640542984009,0.6419378519058228
path_09_f0.90,0.9,-9287.361497772796,2.8886523246765137,0.3209264874458313
path_10_f1.00,1.0,-9269.054411250347,3.20957612991333,0.0004797773726750165
