structure_id,ionic_lock_like,pxxy_dry_distance,gibbs_kcal_mol
anm_00,11.943603515625,12.417744636535645,-13897.259267200972
anm_01,11.944771766662598,12.418615341186523,-13888.97575028866
anm_02,11.942849159240723,12.416470527648926,-13876.025972595018
anm_03,11.942166328430176,12.41569995880127,-13884.446739279345
anm_04,11.943351745605469,12.41784381866455,-13905.66438965215
anm_05,11.94481086730957,12.419130325317383,-13871.245074571161
anm_06,11.943510055541992,12.4164457321167,-13775.965878043395
anm_07,11.942737579345703,12.415790557861328,-13880.898931322099
anm_08,11.942179679870605,12.416065216064453,-13883.365430895075
anm_09,11.942124366760254,12.415244102478027,-13897.730719051686
